species;temp;lux;value
Caloneis schroderi;5;5000;-0.01
Chaetoceros gracilis;5;5000;-0.01
Chaetoceros simplex;5;5000;-0.06
Chlorella ellipsoidea;5;5000;0.03
Chlorella stigmatophora;5;5000;0.01
Chlorella vulgaris (freshwater);5;5000;-0.25
Dunaniella tertiolecta;5;5000;0.28
Cyclotella sp. NUFP-9;5;5000;0.16
Hanzchia marina;5;5000;-0.36
Isochrysis galbana;5;5000;-0.57
Isochrysis aff. galbana;5;5000;-0.62
Nannochlorois oculata;5;5000;0.01
Nannochloris salina;5;5000;0.06
Navicula incerta;5;5000;0.16
Nitzscia sp.;5;5000;-0.1
Skeletonema costatum;5;5000;0.29
Tetraselmus suecica;5;5000;0.04
Thalassiosira fluviatilis;5;5000;0.03
Thalassiosira sp.;5;5000;-0.29
Caloneis schroderi;5;2500;-0.50
Chaetoceros gracilis;5;2500;-0.05
Chaetoceros simplex;5;2500;-0.01
Chlorella ellipsoidea;5;2500;0.02
Chlorella stigmatophora;5;2500;0.24
Chlorella vulgaris (freshwater);5;2500;0.00
Dunaniella tertiolecta;5;2500;0.17
Cyclotella sp. NUFP-9;5;2500;0.08
Hanzchia marina;5;2500;-0.07
Isochrysis galbana;5;2500;-0.07
Isochrysis aff. galbana;5;2500;-0.67
Nannochlorois oculata;5;2500;-0.03
Nannochloris salina;5;2500;0.07
Navicula incerta;5;2500;0.2
Nitzscia sp.;5;2500;0.12
Skeletonema costatum;5;2500;0.34
Tetraselmus suecica;5;2500;-0.02
Thalassiosira fluviatilis;5;2500;0.06
Thalassiosira sp.;5;2500;-0.17
Caloneis schroderi;10;5000;-0.1
Chaetoceros gracilis;10;5000;0.16
Chaetoceros simplex;10;5000;0.27
Chlorella ellipsoidea;10;5000;0.58
Chlorella stigmatophora;10;5000;0.36
Chlorella vulgaris (freshwater);10;5000;0.21
Dunaniella tertiolecta;10;5000;0.43
Cyclotella sp. NUFP-9;10;5000;0.00
Hanzchia marina;10;5000;-0.68
Isochrysis galbana;10;5000;0.42
Isochrysis aff. galbana;10;5000;0.06
Nannochlorois oculata;10;5000;0.01
Nannochloris salina;10;5000;0.04
Navicula incerta;10;5000;0.37
Nitzscia sp.;10;5000;0.2
Skeletonema costatum;10;5000;0.66
Tetraselmus suecica;10;5000;0.42
Thalassiosira fluviatilis;10;5000;0.10
Thalassiosira sp.;10;5000;-0.04
Caloneis schroderi;10;2500;0.25
Chaetoceros gracilis;10;2500;0.07
Chaetoceros simplex;10;2500;0.55
Chlorella ellipsoidea;10;2500;0.53
Chlorella stigmatophora;10;2500;0.24
Chlorella vulgaris (freshwater);10;2500;0.17
Dunaniella tertiolecta;10;2500;0.42
Cyclotella sp. NUFP-9;10;2500;-0.1
Hanzchia marina;10;2500;-0.21
Isochrysis galbana;10;2500;0.25
Isochrysis aff. galbana;10;2500;-0.14
Nannochlorois oculata;10;2500;0.04
Nannochloris salina;10;2500;0.54
Navicula incerta;10;2500;0.22
Nitzscia sp.;10;2500;0.23
Skeletonema costatum;10;2500;0.61
Tetraselmus suecica;10;2500;0.28
Thalassiosira fluviatilis;10;2500;0.11
Thalassiosira sp.;10;2500;-0.12
Caloneis schroderi;25;5000;0.28
Chaetoceros gracilis;25;5000;0.52
Chaetoceros simplex;25;5000;0.47
Chlorella ellipsoidea;25;5000;0.88
Chlorella stigmatophora;25;5000;0.78
Chlorella vulgaris (freshwater);25;5000;0.68
Dunaniella tertiolecta;25;5000;0.60
Cyclotella sp. NUFP-9;25;5000;0.0
Hanzchia marina;25;5000;0.21
Isochrysis galbana;25;5000;0.55
Isochrysis aff. galbana;25;5000;0.78
Nannochlorois oculata;25;5000;0.85
Nannochloris salina;25;5000;-0.32
Navicula incerta;25;5000;0.39
Nitzscia sp.;25;5000;0.23
Skeletonema costatum;25;5000;0.6
Tetraselmus suecica;25;5000;0.46
Thalassiosira fluviatilis;25;5000;-0.03
Thalassiosira sp.;25;5000;0.13
Caloneis schroderi;25;2500;0.30
Chaetoceros gracilis;25;2500;0.39
Chaetoceros simplex;25;2500;0.52
Chlorella ellipsoidea;25;2500;0.85
Chlorella stigmatophora;25;2500;0.56
Chlorella vulgaris (freshwater);25;2500;0.67
Dunaniella tertiolecta;25;2500;0.64
Cyclotella sp. NUFP-9;25;2500;0.0
Hanzchia marina;25;2500;0.15
Isochrysis galbana;25;2500;0.55
Isochrysis aff. galbana;25;2500;0.81
Nannochlorois oculata;25;2500;0.92
Nannochloris salina;25;2500;-0.34
Navicula incerta;25;2500;0.37
Nitzscia sp.;25;2500;0.29
Skeletonema costatum;25;2500;0.67
Tetraselmus suecica;25;2500;0.44
Thalassiosira fluviatilis;25;2500;0.1
Thalassiosira sp.;25;2500;0.15
Caloneis schroderi;30;5000;0.38
Chaetoceros gracilis;30;5000;0.62
Chaetoceros simplex;30;5000;0.54
Chlorella ellipsoidea;30;5000;0.98
Chlorella stigmatophora;30;5000;0.66
Chlorella vulgaris (freshwater);30;5000;-0.29
Dunaniella tertiolecta;30;5000;0.60
Cyclotella sp. NUFP-9;30;5000;-0.18
Hanzchia marina;30;5000;0.11
Isochrysis galbana;30;5000;0.52
Isochrysis aff. galbana;30;5000;0.76
Nannochlorois oculata;30;5000;1.09
Nannochloris salina;30;5000;0.46
Navicula incerta;30;5000;0.48
Nitzscia sp.;30;5000;0.46
Skeletonema costatum;30;5000;0.48
Tetraselmus suecica;30;5000;0.55
Thalassiosira fluviatilis;30;5000;0.28
Thalassiosira sp.;30;5000;0.40
Caloneis schroderi;30;2500;0.29
Chaetoceros gracilis;30;2500;0.73
Chaetoceros simplex;30;2500;0.63
Chlorella ellipsoidea;30;2500;0.94
Chlorella stigmatophora;30;2500;0.39
Chlorella vulgaris (freshwater);30;2500;-0.20
Dunaniella tertiolecta;30;2500;0.45
Cyclotella sp. NUFP-9;30;2500;-0.19
Hanzchia marina;30;2500;0.06
Isochrysis galbana;30;2500;0.51
Isochrysis aff. galbana;30;2500;0.74
Nannochlorois oculata;30;2500;1.14
Nannochloris salina;30;2500;0.06
Navicula incerta;30;2500;0.35
Nitzscia sp.;30;2500;0.4
Skeletonema costatum;30;2500;0.43
Tetraselmus suecica;30;2500;0.51
Thalassiosira fluviatilis;30;2500;0.23
Thalassiosira sp.;30;2500;0.41
